canonical_name,long_tail,wiki_status,recommendation,n_guest_quotes,n_staff_quotes,guest_strong,guest_medium,staff_strong,staff_medium,staff_weak,guest_score,staff_score,flag_public_radio,flag_other_network,exclusion_trigger_label,exclusion_marker,summary_filter_verdict,top_guest_quote,top_guest_source,top_staff_quote,top_staff_source,subst_dedup,n_dates_dedup,span_days_dedup,npr_share,n_programs,first_date,last_date,transcript_ids
Lynn Toler,0,has-page,RE-ADMIT,16,0,8,8,0,0,0,20,0,0,0,"JUDGE LYNN TOLER, HOST, ""DIVORCE COURT,"" MYNETWORKTV'S ""DECISION HOUSE""",HOST,no,"Ms. LYNN TOLER (Judge, ""Divorce Court""; Author, ""My Mother's Rules: A Practical Guide to Becoming an Emotional Genius"")",label:NPR-1808,,,3,3,650,0.3,5,2007-04-19,2009-01-28,CNN-126111;CNN-136721;CNN-148339;CNN-192447;CNN-194709;CNN-202909;CNN-225271;NPR-10649;NPR-1808;NPR-8786
Marc Ambinder,0,has-page,RE-ADMIT,20,0,16,4,0,0,0,20,0,0,0,"Mr. MARC AMBINDER (Reporter, National Journal)",REPORTER,no,"Mr. MARC AMBINDER (Reporter, National Journal)",label:NPR-3397,,,3,3,3111,0.43,6,2008-08-14,2017-02-19,CNN-117081;CNN-203498;CNN-251781;CNN-298828;NPR-12971;NPR-39206;NPR-45044
Ben Domenech,0,has-page,RE-ADMIT,15,0,10,5,0,0,0,20,0,0,0,"BEN DOMENECH, HOST, THE FEDERALIST RADIO HOUR",HOST,no,"BEN DOMENECH, CO-FOUNDER AND PUBLISHER, THE FEDERALIST",label:CNN-357052,,,3,3,1169,0.38,4,2016-02-20,2019-05-04,CNN-259898;CNN-261592;CNN-339337;CNN-357052;CNN-381617;NPR-10473;NPR-22795;NPR-45667
David Jackson,0,has-page,RE-ADMIT,26,0,19,7,0,0,0,20,0,0,0,"DAVID JACKSON, WHITE HOUSE CORRESPONDENT, ""USA TODAY""",CORRESPONDENT,no,"Mr. DAVID JACKSON (Director, Voice of America)",label:NPR-40093;NPR-49406,,,3,3,233,0.33,11,2005-10-03,2006-05-24,CNN-103343;CNN-108222;CNN-117281;CNN-135195;CNN-189872;CNN-223706;CNN-27122;CNN-29413;CNN-368198;CNN-72689;NPR-19373;NPR-40093;NPR-43359;NPR-43580;NPR-49406
Adam Winkler,0,has-page,RE-ADMIT,26,1,21,5,0,1,0,20,2,0,0,"ADAM WINKLER, KEYE REPORTER",REPORTER,no,"PROF. ADAM WINKLER, UCLA LAW SCHOOL",label:CNN-120055;CNN-120057,"ADAM WINKLER, KEYE REPORTER",label:CNN-205261,3,3,1008,0.56,8,2016-06-16,2019-03-21,CNN-120055;CNN-120057;CNN-199394;CNN-273374;CNN-273443;CNN-274073;CNN-325642;CNN-382725;NPR-11961;NPR-14691;NPR-20653;NPR-20899;NPR-21712;NPR-23966;NPR-28930;NPR-7341;NPR-7941;NPR-8703
Joe Nocera,0,has-page,RE-ADMIT,85,1,82,3,0,1,0,18,2,0,0,JOE NOCERA reporting,REPORTING,review,Mr. JOE NOCERA (New York Times),label:NPR-13768;NPR-15472;NPR-19514,JOE NOCERA reporting,label:NPR-49215,25,25,4368,0.65,13,2005-05-21,2017-05-06,CNN-131337;CNN-131341;CNN-131399;CNN-131672;CNN-171158;CNN-173344;CNN-173380;CNN-175078;CNN-176406;CNN-265109;CNN-265498;CNN-272708;CNN-38959;CNN-402661;CNN-9694;NPR-11468;NPR-12246;NPR-12303;NPR-12360;NPR-12388;NPR-12399;NPR-12423;NPR-12489;NPR-13525;NPR-13768
Fred Kaplan,0,has-page,RE-ADMIT,50,1,47,3,0,1,0,18,2,0,0,FRED KAPLAN reporting,REPORTING,review,FRED KAPLAN (Slate),label:NPR-7559;NPR-15268;NPR-16501,FRED KAPLAN reporting,label:NPR-15739,11,11,3974,0.5,13,2005-06-16,2016-05-03,CNN-109535;CNN-147874;CNN-195452;CNN-195509;CNN-195522;CNN-195584;CNN-25559;CNN-283903;CNN-301404;CNN-68692;CNN-68724;CNN-68747;NPR-10080;NPR-12681;NPR-15268;NPR-15739;NPR-15974;NPR-16501;NPR-16820;NPR-22144;NPR-22441;NPR-40857;NPR-7559;NPR-7725
Robert Costa,0,has-page,RE-ADMIT,61,0,58,3,0,0,0,18,0,0,0,"ROBERT COSTA, POLITICAL REPORTER, THE WASHINGTON POST",REPORTER,review,"ROBERT COSTA, ""THE WASHINGTON POST""",label:CNN-225074;CNN-225936;CNN-226426,,,9,9,1103,0.2,7,2015-12-15,2018-12-22,CNN-199270;CNN-225074;CNN-225936;CNN-226426;CNN-226651;CNN-227107;CNN-228974;CNN-230057;CNN-230332;CNN-230488;CNN-230839;CNN-230911;CNN-230912;CNN-232454;CNN-233566;CNN-235427;CNN-235894;CNN-238847;CNN-239347;CNN-241792;CNN-242390;CNN-244761;CNN-245261;CNN-245696;CNN-245715
Anna Fifield,0,has-page,RE-ADMIT,38,1,35,3,0,0,1,18,1,0,0,"ANNA FIFIELD, REPORTER, WASHINGTON POST",REPORTER,no,"ANNA FIFIELD, AUTHOR, ""THE GREAT SUCCESSOR: THE DIVINELY PERFECT DESTINY OF BRILLIANT COMRADE KIM JONG-UN""",label:CNN-372260;CNN-379008;CNN-383143,"""Post"" reporter Anna Fifield interviewed Ko and her husband Ri Gong after uncovering their existence through a lawsuit they filed in South Korea.",utterance[TODD]:CNN-285240,7,7,1360,0.29,7,2014-09-06,2018-05-28,CNN-285240;CNN-290150;CNN-290155;CNN-290163;CNN-290199;CNN-372139;CNN-372260;CNN-372280;CNN-372450;CNN-372468;CNN-379008;CNN-383143;CNN-383160;CNN-383407;CNN-383936;CNN-383943;CNN-392886;NPR-14778;NPR-20111;NPR-20370;NPR-22672;NPR-25523;NPR-26323;NPR-44852
Matt Bai,0,has-page,RE-ADMIT,52,0,49,3,0,0,0,18,0,0,0,"MATT BAI, NATIONAL CORRESPONDENT, ""NEWSWEEK""",CORRESPONDENT,no,"MATT BAI, NATIONAL POLITICAL COLUMNIST, ""YAHOO NEWS""",label:CNN-224085;CNN-229314,,,6,6,1550,0.5,5,2008-01-20,2012-04-18,CNN-224085;CNN-224539;CNN-226261;CNN-229314;CNN-241235;CNN-8713;NPR-12483;NPR-13465;NPR-17115;NPR-45489;NPR-471;NPR-6622
Alan Blinder,0,has-page,RE-ADMIT,52,0,49,3,0,0,0,18,0,0,0,"ALAN BLINDER, REPORTER, NEW YORK TIMES (through phone)",REPORTER,no,"ALAN BLINDER, FORMER FEDERAL RESERVE VICE CHAIRMAN",label:CNN-33548;CNN-33619;CNN-37690,,,4,4,3442,0.38,15,2008-07-19,2017-12-21,CNN-123299;CNN-124738;CNN-128882;CNN-130703;CNN-130908;CNN-130913;CNN-135687;CNN-141637;CNN-28725;CNN-291156;CNN-33548;CNN-33619;CNN-348522;CNN-34893;CNN-37690;CNN-37771;CNN-404407;CNN-404428;CNN-404437;CNN-404445;CNN-85853;CNN-85932;CNN-85947;NPR-14171;NPR-14539
Alex Perry,0,has-page,RE-ADMIT,28,1,25,3,0,1,0,18,2,0,0,ALEX PERRY reporting,CORRESPONDENT,no,"ALEX PERRY, ""TIME"" MAGAZINE",label:CNN-58574;CNN-62165;CNN-68665,ALEX PERRY reporting,label:NPR-40264,3,3,4342,0.45,8,2007-09-11,2019-08-01,CNN-108165;CNN-58574;CNN-62165;CNN-68655;CNN-68665;CNN-68674;NPR-11973;NPR-40264;NPR-824;NPR-827;NPR-9613
Alex Wagner,0,has-page,RE-ADMIT,22,0,19,3,0,0,0,18,0,0,1,"ALEX WAGNER, WHITE HOUSE CORRESPONDENT, ""POLITICS DAILY""",CORRESPONDENT,no,"ALEX WAGNER, EDITOR-IN-CHIEF, ""FADER MAGAZINE""",label:CNN-122437;CNN-122650,,,3,3,350,0.21,4,2016-02-12,2017-01-27,CNN-122437;CNN-122650;CNN-132816;CNN-133560;CNN-133667;CNN-133766;CNN-142666;CNN-146384;CNN-224151;CNN-229818;CNN-351583;NPR-19422;NPR-20505;NPR-22870
Eric Schmitt,0,has-page,RE-ADMIT,20,0,17,3,0,0,0,18,0,0,0,"ERIC SCHMITT, SENIOR WRITER AND TERRORISM CORRESPONDENT, NEW YORK TIMES",CORRESPONDENT,no,"ERIC SCHMITT, ""THE NEW YORK TIMES""",label:CNN-68504;CNN-77555;CNN-403893,,,3,3,1268,0.36,5,2011-07-05,2014-12-24,CNN-170706;CNN-195906;CNN-259238;CNN-301335;CNN-403893;CNN-68504;CNN-77555;NPR-21439;NPR-25506;NPR-27682;NPR-32882
Iona Craig,0,has-page,RE-ADMIT,10,2,3,7,0,1,1,17,3,0,0,"IONA CRAIG, THE INTERCEPT INTERNATIONA CORRESPONDENT",CORRESPONDENT,no,"IONA CRAIG, THE INTERCEPT INTERNATIONA CORRESPONDENT",label:CNN-307318,"Iona Craig reporting for the Times of London from Sana'a, the capital of Yemen.","utterance[AUDIE CORNISH, HOST]:NPR-23466",4,4,598,0.5,7,2013-08-07,2015-03-28,CNN-307322;CNN-326513;CNN-326559;CNN-326561;CNN-326587;NPR-23466;NPR-24780;NPR-25298;NPR-25399;NPR-29483
Steven Greenhouse,0,has-page,RE-ADMIT,55,0,53,2,0,0,0,16,0,0,0,"Mr. STEVEN GREENHOUSE (Labor and Workplace Correspondent, New York Times)",CORRESPONDENT,no,Mr. STEVEN GREENHOUSE (New York Times),label:NPR-2771;NPR-3524,,,10,10,932,0.83,2,2010-11-30,2013-06-19,CNN-127845;CNN-127867;NPR-10140;NPR-1391;NPR-2030;NPR-2771;NPR-3524;NPR-496;NPR-7278;NPR-8286;NPR-8756;NPR-9498
David Pogue,0,has-page,RE-ADMIT,40,1,38,2,0,1,0,16,2,0,0,DAVID POGUE reporting,REPORTING,review,Mr. DAVID POGUE (The New York Times),label:NPR-39736;NPR-40058;NPR-40689,DAVID POGUE reporting,label:NPR-39673,9,9,448,0.93,3,2005-05-16,2006-08-07,CNN-55648;NPR-3246;NPR-38181;NPR-38971;NPR-39004;NPR-39021;NPR-39673;NPR-39736;NPR-40058;NPR-40343;NPR-40689;NPR-41020;NPR-41049;NPR-6857
Jacqueline Charles,0,has-page,RE-ADMIT,30,0,28,2,0,0,0,16,0,0,0,"JACQUELINE CHARLES, CARIBBEAN CORRESPONDENT, MIAMI HERALD",CORRESPONDENT,review,"JACQUELINE CHARLES, CARIBBEAN CORRESPONDENT, MIAMI HERALD",label:CNN-362405;CNN-362420,,,8,8,3325,1.0,3,2010-01-13,2019-02-20,NPR-12995;NPR-13005;NPR-18454;NPR-19327;NPR-2412;NPR-24687;NPR-26121;NPR-32226;NPR-45495
Dexter Filkins,0,has-page,RE-ADMIT,65,3,63,2,0,1,2,16,4,0,0,"Mr. DEXTER FILKINS (Foreign Correspondent, The New York Times)",CORRESPONDENT,review,"DEXTER FILKINS, STAFF WRITER, THE NEW YORKER",label:CNN-213439;CNN-370789;CNN-387585,DEXTER FILKINS reporting,label:NPR-49004,7,7,3436,0.35,12,2005-08-15,2015-01-11,CNN-101840;CNN-192976;CNN-213439;CNN-262222;CNN-302447;CNN-336996;CNN-370789;CNN-387585;CNN-389310;CNN-389549;CNN-389664;CNN-68287;CNN-68945;CNN-75526;CNN-88961;NPR-12667;NPR-15871;NPR-16043;NPR-25358;NPR-29610;NPR-3858;NPR-49004;NPR-6009
Tom Ricks,0,has-page,RE-ADMIT,44,0,42,2,0,0,0,16,0,0,0,"TOM RICKS, SPECIAL MILITARY CORRESPONDENT, AUTHOR, ""THE GAMBLE""",CORRESPONDENT,no,"Mr. TOM RICKS (Senior Fellow, Center for a New American Security)",label:NPR-2126;NPR-2375,,,6,6,721,0.33,12,2011-03-28,2013-03-18,CNN-110275;CNN-119393;CNN-143601;CNN-144412;CNN-144524;CNN-144613;CNN-148264;CNN-148525;CNN-148716;CNN-195829;CNN-196505;CNN-196642;CNN-46843;CNN-69012;NPR-14802;NPR-2126;NPR-2375;NPR-27039;NPR-27173;NPR-611;NPR-9262
Pablo Torre,0,has-page,RE-ADMIT,26,2,24,2,0,0,2,16,2,0,0,"PABLO TORRE, REPORTER, SPORTS ILLUSTRATED",REPORTER,review,"PABLO TORRE, SPORTS ILLUSTRATED",label:CNN-165262;CNN-169147;CNN-179809,"Well, sports commentator Pablo Torre says you can now pay an even bigger premium for the mere potential of star power cache.","utterance[STEVE INSKEEP, HOST]:NPR-15058",5,5,2318,0.4,5,2011-07-20,2017-11-23,CNN-143090;CNN-165262;CNN-169147;CNN-179809;CNN-181012;CNN-181030;CNN-188673;CNN-189078;CNN-190926;NPR-15058;NPR-15284;NPR-15311;NPR-29179;NPR-48097;NPR-798
Borzou Daragahi,0,has-page,RE-ADMIT,42,2,40,2,0,1,1,16,3,0,0,"Mr. BORZOU DARAGAHI (Reporter, Los Angeles Times)",REPORTER,review,Mr. BORZOU DARAGAHI (Los Angeles Times),label:NPR-14854;NPR-32662;NPR-40211,BORZOU DARAGAHI reporting,label:NPR-40210,5,5,3649,0.54,6,2006-01-05,2016-01-02,CNN-101554;CNN-139841;CNN-163887;CNN-257470;CNN-312036;CNN-352829;NPR-14429;NPR-14854;NPR-23195;NPR-32662;NPR-40210;NPR-40211;NPR-7742
David Rennie,0,has-page,RE-ADMIT,23,0,21,2,0,0,0,16,0,0,0,"Mr. DAVID RENNIE (European Union Correspondent, Economist Magazine)",CORRESPONDENT,no,"DAVID RENNIE, WASHINGTON BUREAU CHIEF, THE ECONOMIST",label:CNN-299440;CNN-334633,,,4,4,945,0.56,4,2016-12-27,2019-07-30,CNN-299440;CNN-334633;CNN-398884;CNN-406247;NPR-11003;NPR-16682;NPR-17238;NPR-19260;NPR-5820
Elisabeth Rosenthal,0,has-page,RE-ADMIT,13,0,11,2,0,0,0,16,0,0,0,"Ms. ELISABETH ROSENTHAL (Environment Reporter, New York Times)",REPORTER,no,"Ms. ELISABETH ROSENTHAL (Environment Reporter, New York Times)",label:NPR-34635,,,4,4,2602,0.57,5,2011-12-06,2019-01-20,CNN-394720;CNN-401175;CNN-402709;NPR-11265;NPR-6180;NPR-626;NPR-7952
Rajiv Chandrasekaran,0,has-page,RE-ADMIT,53,2,51,2,0,0,2,16,2,0,0,"Mr. RAJIV CHANDRASEKARAN (Associate Editor, Senior Correspondent, Washington Post)",CORRESPONDENT,no,"RAJIV CHANDRASEKARAN, ""WASHINGTON POST""",label:CNN-65342;CNN-83669;CNN-87231,The latest this morning comes to us from Baghdad from reporter Rajiv Chandrasekaran.,utterance[O'BRIEN]:CNN-84990,3,3,617,0.18,12,2010-06-22,2012-02-29,CNN-101872;CNN-104453;CNN-104531;CNN-109298;CNN-111662;CNN-112372;CNN-112568;CNN-116346;CNN-155063;CNN-212812;CNN-65342;CNN-79712;CNN-83669;CNN-84990;CNN-87231;CNN-87461;CNN-90423;CNN-91257;NPR-12794;NPR-1414;NPR-35303;NPR-44433
Philip Gourevitch,0,has-page,RE-ADMIT,18,0,16,2,0,0,0,16,0,0,0,"PHILIP GOUREVITCH, POLITICAL CORRESPONDENT, ""THE NEW YORKER""",CORRESPONDENT,no,"Mr. PHILIP GOUREVITCH (Staff Writer, The New Yorker)",label:NPR-2033,,,3,3,4987,0.5,6,2005-08-13,2019-04-09,CNN-145216;CNN-146443;CNN-78461;CNN-83588;NPR-11107;NPR-2033;NPR-40035;NPR-43853
Jonathan Alter,0,has-page,RE-ADMIT,21,2,19,2,0,0,2,16,2,0,1,"JONATHAN ALTER, NBC NEWS CORRESPONDENT",CORRESPONDENT,no,"JONATHAN ALTER, NBC NEWS CORRESPONDENT",label:CNN-14666;CNN-21399,"Reporter, columnist and TV analyst Jonathan Alter talks about his new political satire Alpha House, and what's changed in how entertainment television does politics.",summary:NPR-8800,3,3,1624,0.42,8,2008-11-19,2013-05-01,CNN-14265;CNN-151797;CNN-209575;CNN-209813;CNN-210116;CNN-21425;CNN-82760;NPR-24747;NPR-28242;NPR-35057;NPR-48858;NPR-8800
Alan Schwarz,0,has-page,RE-ADMIT,30,0,28,2,0,0,0,16,0,0,0,"Mr. ALAN SCHWARZ (Correspondent, The New York Times)",CORRESPONDENT,review,"Mr. ALAN SCHWARZ (Correspondent, The New York Times)",label:NPR-4543,,,3,3,1821,0.67,4,2006-09-13,2011-09-08,CNN-218427;CNN-218449;NPR-1392;NPR-16885;NPR-47330;NPR-5832
Jonathan Landay,0,has-page,RE-ADMIT,17,2,15,2,0,0,2,16,2,0,0,"Mr. JONATHAN LANDAY (National Security Correspondent, McClatchy Newspapers)",CORRESPONDENT,no,"JONATHAN LANDAY, MCCLATCHY",label:CNN-245025;CNN-245036,"Knight-Ridder correspondent Jonathan Landay says the Taliban is offering stiff resistance, despite the U.S.",summary:NPR-40676,3,3,2368,0.5,6,2005-08-16,2012-02-09,CNN-17357;CNN-203322;CNN-245025;CNN-245036;NPR-13000;NPR-1414;NPR-40639;NPR-40676
Andrew Revkin,0,has-page,RE-ADMIT,31,0,29,2,0,0,0,16,0,0,0,"Mr. ANDREW REVKIN (Reporter, New York Times)",REPORTER,review,"Mr. ANDREW REVKIN (Reporter, New York Times)",label:NPR-8380;NPR-36309,,,3,3,1864,0.5,4,2005-06-08,2010-07-16,CNN-117441;CNN-346340;CNN-351162;NPR-15346;NPR-17012;NPR-4970
Brian Bennett,0,has-page,RE-ADMIT,38,0,36,2,0,0,0,16,0,0,0,"BRIAN BENNETT, NATIONAL CORRESPONDENT, ""TIME""",CORRESPONDENT,no,"BRIAN BENNETT, ""TIME"" MAGAZINE",label:CNN-74387;CNN-79262;CNN-80238,,,3,3,597,0.18,13,2014-04-18,2015-12-06,CNN-103182;CNN-111071;CNN-112485;CNN-248089;CNN-248184;CNN-248199;CNN-74387;CNN-79262;CNN-80238;CNN-83691;CNN-84106;CNN-84939;CNN-87291;CNN-89943;NPR-23407;NPR-26856;NPR-5893
Amy Sullivan,0,has-page,RE-ADMIT,16,0,14,2,0,0,0,16,0,0,0,"AMY SULLIVAN, NATIONAL CORRESPONDENT, ""TIME""",CORRESPONDENT,no,"AMY SULLIVAN, ""TIME"" MAGAZINE",label:CNN-124854;CNN-124874;CNN-124890,,,3,3,847,0.3,6,2013-08-02,2015-11-27,CNN-102621;CNN-107845;CNN-124854;CNN-124874;CNN-124890;CNN-125780;CNN-138359;NPR-23503;NPR-28529;NPR-28580
Luke Harding,0,has-page,RE-ADMIT,23,0,21,2,0,0,0,16,0,0,0,"LUKE HARDING, FOREIGN CORRESPONDENT, ""THE GUARDIAN""",CORRESPONDENT,no,"LUKE HARDING, AUTHOR, ""COLLUSION""",label:CNN-328620;CNN-333153,,,3,3,771,0.38,7,2016-06-04,2018-07-15,CNN-106969;CNN-294210;CNN-327600;CNN-328620;CNN-333153;NPR-11303;NPR-21858;NPR-8077
Josh White,0,has-page,RE-ADMIT,19,0,17,2,0,0,0,16,0,0,0,"Mr. JOSH WHITE (Reporter, The Washington Post)",REPORTER,review,Mr. JOSH WHITE (The Washington Post),label:NPR-16176;NPR-16283,,,3,3,230,0.43,4,2005-08-03,2006-03-21,CNN-272382;CNN-272392;CNN-272406;CNN-272426;NPR-16176;NPR-16283;NPR-5437
Tariq Panja,0,has-page,RE-ADMIT,10,0,8,2,0,0,0,16,0,0,0,"TARIQ PANJA, GLOBAL SPORTS REPORTER, ""NEW YORK TIMES""",REPORTER,review,"TARIQ PANJA, GLOBAL SPORTS REPORTER, ""NEW YORK TIMES""",label:CNN-363789,,,3,3,227,1.0,2,2018-06-13,2019-01-26,NPR-46322;NPR-46377;NPR-9719
Ta-Nehisi Coates,0,has-page,RE-ADMIT,38,0,37,1,0,0,0,14,0,0,0,"TA-NEHISI COATES, NATIONAL CORRESPONDENT, ""THE ATLANTIC""",CORRESPONDENT,no,"TA-NEHISI COATES, ""THE ATLANTIC""",label:CNN-372727;CNN-372798,,,6,6,1720,0.35,7,2010-12-29,2015-09-14,CNN-343343;CNN-372727;CNN-372739;CNN-372798;CNN-372866;CNN-372867;CNN-372869;CNN-373140;CNN-381509;CNN-389210;CNN-409443;NPR-12584;NPR-24034;NPR-24501;NPR-27463;NPR-3219;NPR-8570
Carol Rosenberg,0,has-page,RE-ADMIT,39,0,38,1,0,0,0,14,0,0,0,"Ms. CAROL ROSENBERG (Reporter, Miami Herald)",REPORTER,review,"Ms. CAROL ROSENBERG (Reporter, Miami Herald)",label:NPR-31271,,,6,6,1819,0.78,6,2012-01-11,2017-01-03,CNN-151499;CNN-392319;NPR-17072;NPR-25352;NPR-26027;NPR-26953;NPR-44703;NPR-6954;NPR-9111
Mark Potok,0,has-page,RE-ADMIT,54,1,53,1,0,1,0,14,2,0,0,"MARK POTOK, ""INTELLIGENCE REPORTER""",REPORTER,no,"MARK POTOK, SOUTHERN POVERTY LAW CENTER",label:CNN-4473;CNN-5352;CNN-30615,"MARK POTOK, ""INTELLIGENCE REPORTER""",label:CNN-50416,5,5,3065,0.11,34,2006-11-27,2015-04-19,CNN-103141;CNN-112856;CNN-113035;CNN-113246;CNN-117185;CNN-120378;CNN-120395;CNN-120433;CNN-121066;CNN-130134;CNN-132349;CNN-134328;CNN-134341;CNN-134409;CNN-135394;CNN-135414;CNN-137075;CNN-137093;CNN-137112;CNN-139264;CNN-139285;CNN-139287;CNN-139293;CNN-139296;CNN-139299
Julian Barnes,0,has-page,RE-ADMIT,36,0,35,1,0,0,0,14,0,0,0,"Mr. JULIAN BARNES (Reporter, Los Angeles Times)",REPORTER,review,Mr. JULIAN BARNES (Wall Street Journal),label:NPR-2026,,,5,5,3034,0.83,3,2011-05-09,2019-08-29,CNN-305832;NPR-2026;NPR-8283;NPR-9031;NPR-9520;NPR-9753
Barbara Demick,0,has-page,RE-ADMIT,33,1,32,1,0,0,1,14,1,0,0,"Ms. BARBARA DEMICK (Reporter, The New Yorker)",REPORTER,no,Ms. BARBARA DEMICK (Los Angeles Times),label:NPR-30474;NPR-44068,Reporter Barbara Demick has traveled regularly to China's border with North Korea to seek out North Korean escapees to get a glimpse of what's happening inside their mysterious country.,"utterance[RENEE MONTAGNE, host]:NPR-31285",5,5,4696,0.33,9,2005-07-03,2018-05-12,CNN-209137;CNN-315063;CNN-315192;CNN-328766;CNN-328929;CNN-330081;CNN-334714;CNN-336587;CNN-341076;CNN-342433;NPR-29468;NPR-30474;NPR-4163;NPR-44068;NPR-5219
Michael Schmidt,0,has-page,RE-ADMIT,65,1,64,1,0,1,0,14,2,0,1,"MICHAEL SCHMIDT, REPORTER, ""THE NEW YORK TIMES""",REPORTER,no,"MICHAEL SCHMIDT, ""THE NEW YORK TIMES""",label:CNN-226856;CNN-226920;CNN-227049,"MICHAEL SCHMIDT, NYT REPORTER",label:CNN-317204,4,4,1872,0.19,9,2012-09-18,2017-11-03,CNN-177180;CNN-226856;CNN-226920;CNN-227049;CNN-227163;CNN-227241;CNN-227317;CNN-227451;CNN-243192;CNN-247965;CNN-256226;CNN-257456;CNN-318318;CNN-335087;CNN-335212;CNN-346222;CNN-348533;CNN-361373;CNN-361379;CNN-364190;CNN-412983;NPR-10279;NPR-14352;NPR-26379;NPR-48503
David Carr,0,has-page,RE-ADMIT,40,0,39,1,0,0,0,14,0,0,0,"DAVID CARR, MEDIA REPORTER, ""THE NEW YORK TIMES""",REPORTER,no,"DAVID CARR, ""THE NEW YORK TIMES""",label:CNN-73978;CNN-118491,,,4,4,2536,0.29,11,2006-03-06,2013-02-13,CNN-102269;CNN-118491;CNN-129560;CNN-157949;CNN-168893;CNN-211180;CNN-245523;CNN-249087;CNN-249268;CNN-249312;CNN-249331;CNN-73978;NPR-12584;NPR-14296;NPR-27374;NPR-7686;NPR-9506
Robert Worth,0,has-page,RE-ADMIT,18,2,17,1,0,0,2,14,2,0,0,"Mr. ROBERT WORTH (Correspondent, The New York Times)",CORRESPONDENT,review,"Mr. ROBERT WORTH (Correspondent, The New York Times)",label:NPR-5055,Reporter Robert Worth returned to Aleppo after years of urban warfare destroyed the once beautiful Syrian city.,summary:NPR-14944,4,4,4258,0.8,5,2005-10-04,2017-06-01,CNN-284778;NPR-14944;NPR-15401;NPR-32154;NPR-975
Carlotta Gall,0,has-page,RE-ADMIT,33,0,32,1,0,0,0,14,0,0,0,"Ms. CARLOTTA GALL (Reporter, New York Times)",REPORTER,no,Ms. CARLOTTA GALL (The New York Times),label:NPR-16799;NPR-39623;NPR-41018,,,4,4,4094,0.62,6,2005-06-01,2016-08-16,CNN-241926;CNN-244569;CNN-80024;NPR-16799;NPR-18968;NPR-39623;NPR-41018;NPR-44065
Ezra Klein,0,has-page,RE-ADMIT,30,0,29,1,0,0,0,14,0,0,0,"EZRA KLEIN, HOST, THE EZRA KLEIN SHOW",HOST,no,"EZRA KLEIN, AUTHOR, ""WHY WE'RE POLARIZED""",label:CNN-388145;CNN-391710,,,3,3,294,0.38,5,2010-04-27,2011-02-15,CNN-299151;CNN-314945;CNN-367645;CNN-388145;CNN-391710;NPR-2775;NPR-3988;NPR-45041
Kurt Eichenwald,0,has-page,RE-ADMIT,40,1,39,1,0,1,0,14,2,0,0,"Mr. KURT EICHENWALD (Reporter, New York Times)",REPORTER,no,"KURT EICHENWALD, ""NEW YORK TIMES""",label:CNN-40952;CNN-101296;CNN-109582,"KURT EICHENWALD, INVESTIGATIVE REPORTER",label:CNN-110924,3,3,3905,0.13,14,2006-02-02,2016-10-12,CNN-100912;CNN-101296;CNN-104580;CNN-104594;CNN-104598;CNN-109582;CNN-112918;CNN-238632;CNN-267019;CNN-278060;CNN-278068;CNN-294035;CNN-294069;CNN-295199;CNN-295206;CNN-295934;CNN-297476;CNN-297659;CNN-354461;CNN-40952;NPR-14293;NPR-14660;NPR-18359
William Jelani Cobb,0,has-page,RE-ADMIT,19,2,18,1,0,0,2,14,2,0,0,Professor WILLIAM JELANI COBB (commentator and professor of history at Spelman College in Atlanta),COMMENTATOR,no,"WILLIAM JELANI COBB, AUTHOR, ""THE SUBSTANCE OF HOPE""",label:CNN-153234;CNN-153238;CNN-153265,"Commentator William Jelani Cobb says African-Americans should support the plight of Latino immigrants, considering the history of African-Americans in the American workplace.",summary:NPR-44767,3,3,238,0.3,6,2006-08-14,2007-04-09,CNN-102566;CNN-102567;CNN-153234;CNN-153238;CNN-153265;CNN-154319;CNN-99327;NPR-1856;NPR-4188;NPR-4291
Ghaith Abdul-Ahad,0,has-page,RE-ADMIT,11,0,10,1,0,0,0,14,0,0,0,"GHAITH ABDUL-AHAD, REPORTER, THE GUARDIAN",REPORTER,no,"GHAITH ABDUL-AHAD, REPORTER, THE GUARDIAN",label:CNN-390158,,,3,3,802,1.0,2,2012-05-29,2014-08-09,NPR-10906;NPR-28509;NPR-28708;NPR-7136
Jon Miller,0,has-page,RE-ADMIT,10,1,9,1,0,1,0,14,2,0,1,"JON MILLER, ESPN COMMENTATOR",COMMENTATOR,no,Mr. JON MILLER (ESPN Announcer),label:NPR-40179,"From Ithaca, New York, Jon Miller reports.","utterance[LIANE HANSEN, host]:NPR-16905",3,3,1160,1.0,3,2005-10-21,2008-12-24,NPR-16905;NPR-40179;NPR-48511
George Packer,0,has-page,RE-ADMIT,31,0,30,1,0,0,0,14,0,0,0,"GEORGE PACKER, ""NEW YORKER"" MAGAZINE STAFF REPORTER",REPORTER,no,"GEORGE PACKER, ""THE NEW YORKER""",label:CNN-98816;CNN-112806,,,3,3,440,0.23,8,2005-10-14,2006-12-28,CNN-104548;CNN-112806;CNN-145599;CNN-318513;CNN-327008;CNN-369164;CNN-374009;CNN-67281;CNN-96104;CNN-98816;NPR-43264;NPR-46451;NPR-6916
